Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Docklands,2,u,PI,BigginScott,Southern Metro,5435,19.1,Yarra,3,1,0,808.24,251.14,847310.6731
Carlton,4,u,VB,BarryPlant,Southern Metro,3644,14.75,Monash,1,1,3,657.91,165.19,911706.7248
Burwood,3,u,VB,JellisCraig,Western Metro,2045,26.39,Monash,4,2,3,174.46,347.29,970716.9573
Carlton,1,u,S,BigginScott,Western Metro,8951,8.87,Boroondara,2,3,0,841.58,214.04,857946.1854
Carlton,3,u,S,JellisCraig,Western Metro,7449,1.11,Boroondara,3,3,1,709.39,403.75,1204028.4
Clayton,5,h,S,JellisCraig,Southern Metro,3681,5.71,Monash,4,1,1,279.03,104.7,876418.6625
Burwood,4,u,PI,BigginScott,Western Metro,4199,11.14,Yarra,4,1,1,171.76,102.38,712119.4261
Burwood,3,u,SP,BarryPlant,Western Metro,7768,10.16,Yarra,1,3,1,853.32,142,904529.2143
Burwood,2,h,PI,BigginScott,Northern Metro,8440,23.95,Yarra,2,2,2,171.01,87.93,572186.7869
Carlton,5,u,VB,BigginScott,Western Metro,9633,20.74,Melbourne,4,3,3,182.22,329.01,1148208.07
Docklands,5,h,S,JellisCraig,Northern Metro,3550,9.69,Monash,3,1,3,484.67,116.31,931488.8053
Burwood,3,h,SP,BigginScott,Northern Metro,5225,14.27,Monash,4,1,0,221.32,121.98,719070.8579
Carlton,3,t,VB,BarryPlant,Western Metro,1596,3.77,Melbourne,5,2,2,922.3,56.4,963825.8375
Clayton,4,t,VB,BigginScott,Northern Metro,7054,27.05,Monash,3,3,0,523.26,401.94,1086531.472
Docklands,1,t,VB,BarryPlant,Southern Metro,2505,28.13,Monash,3,2,0,612.24,415.53,943461.1638
Clayton,3,t,PI,BarryPlant,Southern Metro,7468,29.41,Melbourne,4,2,3,935.3,122.91,1096823.397
Docklands,3,u,S,JellisCraig,Western Metro,8236,26.19,Boroondara,1,1,2,577.24,382.79,928738.5255
Carlton,2,t,VB,RayWhite,Southern Metro,2551,6.04,Monash,3,3,1,418.23,245.1,952001.5541
Richmond,5,h,S,RayWhite,Northern Metro,7852,2.34,Melbourne,5,1,3,817.44,157.82,1132434.122
